               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.019179,            0.020857,          0.00065339,             0.96186,             0.96967,             0.97782,             0.91858,           0.0078585,            0.011792,          0.00018016,             0.00643,             0.00643,             0.00643
                 121,            0.019032,            0.020631,          0.00064433,             0.95955,             0.97034,             0.97806,             0.91911,            0.007853,            0.011792,          0.00017602,              0.0064,              0.0064,              0.0064
                 122,             0.01865,            0.020777,          0.00065195,             0.96137,             0.96923,             0.97771,             0.91815,           0.0078379,            0.011786,          0.00017407,             0.00637,             0.00637,             0.00637
                 123,            0.018841,            0.020809,          0.00066197,             0.96128,             0.96868,             0.97761,             0.91948,           0.0078259,            0.011775,          0.00017322,             0.00634,             0.00634,             0.00634
                 124,            0.018606,            0.020671,          0.00061203,             0.96107,              0.9701,             0.97789,             0.92042,           0.0078144,            0.011769,           0.0001745,             0.00631,             0.00631,             0.00631
                 125,            0.018788,            0.020576,          0.00065563,             0.96296,              0.9692,             0.97823,             0.92034,           0.0078044,             0.01177,          0.00017279,             0.00628,             0.00628,             0.00628
                 126,            0.018964,            0.020586,          0.00065097,             0.96326,             0.96744,             0.97824,              0.9193,           0.0077845,            0.011771,          0.00017314,             0.00625,             0.00625,             0.00625
                 127,            0.018752,            0.020651,          0.00063161,             0.96281,             0.96667,             0.97813,             0.92013,           0.0077547,            0.011757,          0.00017273,             0.00622,             0.00622,             0.00622
                 128,            0.018632,            0.020474,          0.00061768,             0.96313,             0.96882,             0.97794,             0.91991,           0.0077464,            0.011745,          0.00017203,             0.00619,             0.00619,             0.00619
                 129,            0.018748,            0.020612,           0.0006424,             0.95836,             0.97073,             0.97815,             0.92033,           0.0077431,            0.011737,          0.00017016,             0.00616,             0.00616,             0.00616
                 130,            0.018671,            0.020471,          0.00064241,             0.96063,             0.96809,             0.97807,             0.91996,           0.0077357,            0.011733,          0.00016891,             0.00613,             0.00613,             0.00613
                 131,            0.018717,            0.020571,          0.00062495,               0.961,             0.96818,             0.97798,             0.92046,           0.0077304,            0.011731,           0.0001672,              0.0061,              0.0061,              0.0061
                 132,            0.018482,            0.020351,          0.00063553,             0.95753,             0.97103,             0.97811,             0.92053,           0.0077154,            0.011717,          0.00016542,             0.00607,             0.00607,             0.00607
                 133,            0.018867,            0.020364,           0.0006236,             0.95801,             0.97181,             0.97808,             0.92199,           0.0077131,            0.011713,          0.00016464,             0.00604,             0.00604,             0.00604
                 134,             0.01855,            0.020167,          0.00063281,             0.95815,              0.9714,             0.97818,             0.92176,           0.0077049,            0.011708,           0.0001649,             0.00601,             0.00601,             0.00601
                 135,            0.018529,            0.020333,          0.00061447,             0.95896,             0.96994,              0.9783,             0.92218,           0.0076986,            0.011696,           0.0001652,             0.00598,             0.00598,             0.00598
                 136,             0.01838,            0.020296,          0.00062569,             0.96216,             0.96772,             0.97842,             0.92143,            0.007697,            0.011688,          0.00016507,             0.00595,             0.00595,             0.00595
                 137,            0.018648,            0.020246,          0.00060952,             0.96187,             0.96836,             0.97861,             0.92206,           0.0076894,             0.01168,          0.00016493,             0.00592,             0.00592,             0.00592
                 138,            0.018537,            0.020409,          0.00062689,             0.96236,             0.96692,             0.97863,             0.92214,           0.0076986,            0.011692,          0.00016649,             0.00589,             0.00589,             0.00589
                 139,            0.018517,             0.02045,          0.00060106,             0.96212,             0.96731,             0.97851,             0.92224,           0.0076927,             0.01169,          0.00016731,             0.00586,             0.00586,             0.00586
                 140,            0.018333,            0.020339,          0.00063194,              0.9618,             0.96776,             0.97856,             0.92246,           0.0076901,            0.011687,          0.00016755,             0.00583,             0.00583,             0.00583
                 141,            0.018514,            0.020222,          0.00061894,             0.96338,             0.96824,              0.9786,             0.92259,           0.0076879,            0.011682,          0.00016927,              0.0058,              0.0058,              0.0058
                 142,            0.018424,            0.020279,          0.00062022,              0.9624,             0.96893,             0.97853,             0.92228,           0.0076839,            0.011671,          0.00017046,             0.00577,             0.00577,             0.00577
                 143,            0.018642,            0.020123,          0.00062299,             0.96248,             0.97018,             0.97849,             0.92336,           0.0076816,            0.011665,          0.00017091,             0.00574,             0.00574,             0.00574
                 144,            0.018449,            0.020291,          0.00059379,             0.96234,             0.97002,             0.97827,             0.92315,           0.0076763,            0.011658,          0.00017045,             0.00571,             0.00571,             0.00571
                 145,              0.0185,            0.020386,          0.00060804,             0.96048,             0.97177,             0.97816,             0.92349,             0.00767,            0.011656,          0.00017067,             0.00568,             0.00568,             0.00568
                 146,            0.018312,            0.020306,          0.00062151,             0.95929,             0.97238,              0.9781,             0.92377,           0.0076614,            0.011654,          0.00017087,             0.00565,             0.00565,             0.00565
